# sample1 			| sample2 			| total SNPs 	| mismatched SNPs 	| mismatch % 	| Hom Hom (ex: 00 11) 	| Hom Homs % 	| Het Hom Lap (ex: 00 01) 	| Het Hom Lap % 	| Het Hom non Lap (ex 00 12) 	| Het Hom non Lap % 	| Het Het (ex: 01 12 or 01 23) 	| Het Het %
Ceyx.erit.DOT.9655  | Ceyx.erit.UW-67542 | 148           | 15                | 10.14%        | 5                     | 3.38%         | 10                        | 6.76%             | 0                             | 0.00%                 | 0                             | 0.00%              
Ceyx.erit.DOT.9655  | Ceyx.erit.UW-73854 | 2587          | 299               | 11.56%        | 68                    | 2.63%         | 231                       | 8.93%             | 0                             | 0.00%                 | 0                             | 0.00%              
Ceyx.erit.DOT.9655  | Ceyx.erit.KU.10417 | 2715          | 371               | 13.66%        | 92                    | 3.39%         | 279                       | 10.28%            | 0                             | 0.00%                 | 0                             | 0.00%              
Ceyx.erit.DOT.9655  | Ceyx.erit.KU.23162 | 2731          | 396               | 14.50%        | 52                    | 1.90%         | 344                       | 12.60%            | 0                             | 0.00%                 | 0                             | 0.00%              
Ceyx.erit.DOT.9655  | Ceyx.erit.KU.23190 | 2787          | 367               | 13.17%        | 65                    | 2.33%         | 302                       | 10.84%            | 0                             | 0.00%                 | 0                             | 0.00%              
Ceyx.erit.DOT.9655  | Ceyx.erit.KU.23262 | 2718          | 398               | 14.64%        | 59                    | 2.17%         | 339                       | 12.47%            | 0                             | 0.00%                 | 0                             | 0.00%              
Ceyx.erit.DOT.9655  | Ceyx.erit.KU.23309 | 2732          | 340               | 12.45%        | 64                    | 2.34%         | 276                       | 10.10%            | 0                             | 0.00%                 | 0                             | 0.00%              
Ceyx.erit.DOT.9655  | Ceyx.erit.KU.14306 | 2589          | 313               | 12.09%        | 68                    | 2.63%         | 245                       | 9.46%             | 0                             | 0.00%                 | 0                             | 0.00%              
Ceyx.erit.DOT.9655  | Ceyx.erit.KU.12346 | 2765          | 579               | 20.94%        | 265                   | 9.58%         | 314                       | 11.36%            | 0                             | 0.00%                 | 0                             | 0.00%              
Ceyx.erit.DOT.9655  | Ceyx.erit.KU.12359 | 2847          | 656               | 23.04%        | 281                   | 9.87%         | 375                       | 13.17%            | 0                             | 0.00%                 | 0                             | 0.00%              
Ceyx.erit.DOT.9655  | Ceyx.erit.KU.12370 | 2761          | 603               | 21.84%        | 261                   | 9.45%         | 342                       | 12.39%            | 0                             | 0.00%                 | 0                             | 0.00%              
Ceyx.erit.DOT.9655  | Ceyx.erit.LSU.57033 | 2811          | 618               | 21.99%        | 278                   | 9.89%         | 340                       | 12.10%            | 0                             | 0.00%                 | 0                             | 0.00%              
Ceyx.erit.DOT.9655  | Ceyx.erit.LSU.57040 | 2848          | 638               | 22.40%        | 277                   | 9.73%         | 361                       | 12.68%            | 0                             | 0.00%                 | 0                             | 0.00%              
Ceyx.erit.DOT.9655  | Ceyx.erit.LSU.57065 | 2700          | 583               | 21.59%        | 263                   | 9.74%         | 320                       | 11.85%            | 0                             | 0.00%                 | 0                             | 0.00%              
